"PID";"Original tittel"
"02CCB054-02DD-4492-80DA-EBDC31D2618F";"Rainer Hampp Verlag"
"00161935-9534-4136-BCA5-B5ABFF44C9A3";"Daidalos"
"00281626-DDD7-4284-868B-069C8C8F243F";"Global Academic Publishing"
"003EF91F-B570-46F3-9719-BDCA58700CB7";"Big Bad Books"
"00867B9B-732D-4375-B873-ABED42A94507";"Høgskolen i Hedmark"
"00D70087-1B23-46E1-92F5-4CDD7F79A708";"Ediciones uniandes"
"00EAD561-132E-4914-8802-B0B3FB698AC4";"Artemide Edizioni"
"0107A0EA-EA05-429B-AB65-5C4BE302094E";"IOP Publishing"
"0132F315-CDD7-4B13-B9DE-C8490D2A9DB9";"Jagiellonian University Press"
"0148CBF3-2124-4D3A-AF89-66550E731B7F";"Wydawnictwo Universytetu w Białymstoku"
"01801334-DE1D-4232-9CA4-8B61D9012ED1";"AOCS Press"
"01848B5D-790B-45C0-94DC-5D5997A2F26D";"BrownWalker Press"
"01994E5E-32AC-4893-B0F2-BD204381CFDD";"Brill|Sense"
"01BED072-9202-429E-A6B1-189CD6E4466C";"Biblion Verlag"
"01D537DE-5CCA-43B4-A260-68A3DA9EBBDB";"NIACE - National Institute of Adult Continuing Education"
"01F24D56-4224-43AE-B34E-CE4593A3BBF4";"Manchester University Press"
"02174FBE-CF39-415E-8726-970939F8C848";"Presses Universitaires du Septentrion"
"021C2B4A-3ECA-4C28-A121-47B9AE3F67C5";"Universitetet i Agder"
"02337989-0CCD-4ED1-9D01-1548F41AFDBC";"University of British Columbia Press"
"023D98EA-A5F8-443B-B590-E9F296611BC5";"Norges Geotekniske Institutt"
"02458251-0606-4B16-BD55-F1991D467EE0";"Fraunhofer IRB Verlag"
"024A0E77-3ED7-4691-A3A0-E7BB3D3B3C8E";"eurau ALICANTE"
"02570172-4E60-459A-B237-E7C967D5080E";"Technical Association of Photopolymers"
"026B051B-EC96-43A9-A1C2-083AA2CA8A7C";"Skira"
"029B87CB-466A-4D77-90E6-231015F524CF";"Politechnika Gdanska"
"02A8A7E8-8040-4B24-92B6-5F911E0049F2";"Hatje Cantz Verlag"
"02ACB51C-3CDF-493F-8C4B-D403DA81E72D";"Instituto de Estudos Medievais (IEM), Universidade Nova de Lisboa FCSH"
"02B549BD-13AB-4F36-96D1-9B3C3C2C2F3F";"European Space Agency"
"02B90227-B09C-4447-924F-B2209DDD0ED5";"Gidlunds förlag"
"02D36F93-829C-488B-A8F0-D74139DBE9D2";"AIP Publishing (American Institute of Physics)"
"02D43F5F-4A81-4D2E-83FF-EEE04F965D33";"Urban form and social context: from traditions to newest demands. 25th ISUF international Conference"
"02F995ED-2856-4715-B0C0-CAE610EE223B";"Lux Europa"
"03015184-7B9F-4421-8D4E-D5E718277446";"Sveriges Lantbruksuniversitet"
"031C5553-12A0-453E-B4FA-DC2B19B95BD2";"The International Conference on New Interfaces for Musical Expression"
"03524BBF-4B57-4781-9EAA-22A9A51A8D31";"Lambert Academic Publishing"
"0371E735-2365-4709-AB58-C51775ECDA9D";"Arkipelag"
"038DBC9E-A2A8-4D83-AC42-EE4F23625EBE";"ConBrio Verlagsgesellschaft mbH"
"03A4E4F8-71D7-4FD9-89B9-14039E73F48E";"Whurr Publishers"
"03AB6BE4-7232-4D3F-B4FB-7687F9027056";"Librairie Orientaliste Oriens"
"03B38352-6CC0-4F0A-9293-A0440A137756";"Association for Mathematics Education of South Africa (AMESA)"
"03B88264-7D73-4A2F-840C-6F2F6DD6E9CB";"New Academia Publishing (NAP)"
"03BBC5FE-76E1-4BB3-86BA-F178B01D28C5";"Høyskolen Kristiania"
"03C34D03-7D0E-4D60-8AD5-211335A35316";"Biopress Ltd"
"03D0D401-F220-4E00-BC9C-227F4C1B9EDB";"Editorial USFQ"
"03D31572-DC5D-4424-8498-3AC89AA0D359";"Stowarzyszenie Przyjaciol Czasopisma o Tematyce Audiowizualnej EKRANy w Krakowie"
"03D476AB-68CA-4CC0-B288-FA06F6FA37D9";"The British Machine Vision Association (BMVA) Press"
"03D8908F-E335-4D7D-8330-03253CD7706A";"Canadian Human-Computer Communications Society"
"03D9A156-8938-4900-AFEC-A1A80C9F3880";"Wilkie Collins Society"
"03F058ED-A6E4-46C5-A596-ECD05BA79DF0";"Research School of Asian, African, and Amerindian Studies"
"0423D131-2218-40EE-BCE8-E0C86ADE3EA3";"Polish Safety and Reliability Association"
"044E99C3-6463-42DE-A1D6-4DE1FA71E578";"Församlingsförlaget"
"0464D7C0-AD53-4469-834D-3B7DEAB047F3";"Multifoco"
"0466D3CD-80FD-497B-9504-589F2E4505A5";"Old Testament Society of South Africa"
"04722CB5-A683-483A-9D23-E142165FA468";"International Arctic Science Committee (IASC)"
"04A93808-B434-4B13-90B5-60A87B42814C";"Zeta Books"
"04AE515A-EE20-48AE-8873-435295D4259E";"Librairie Droz"
"04C19475-ACF9-4CE5-A4C2-64850F4820A1";"Blackhorse Publishing"
"04EB67EC-F7CF-43C0-ABEE-3A2CAD426506";"Monumenta Iuris Canonici, series C"
"04FCEEAD-5E5A-47F6-AF28-857E4129C339";"Böhlau"
"0520F307-EF91-4566-BCCA-67176E929EDA";"Suomalaisen Kirjallisuuden Seura"
"053D452E-B02A-4C99-AE6E-D4247B83D7C6";"Micromega"
"05547056-EA30-4450-A52D-822D7DD0EBD9";"American Spatial Hydrology Union (ASHU)"
"05683068-08D0-49C7-8FD3-803B1F34D78E";"Southwest Center"
"05875F19-7126-4025-8F7B-5DC3A74B01F9";"Pegasus"
"05ACBD58-C4A4-4EFC-B5B4-51DC772073CC";"Unesco"
"05B073C0-6A28-48B8-8988-2ECD53818E08";"Romano Guerra Editora Ltda"
"05C613C0-267D-4349-9F41-A1CB6C72E8A0";"Radcliffe Publishing"
"05CDAF82-3A54-44B4-A2A7-579CF1F72C54";"volumina.pl Daniel Krzanowski"
"05DEC2DF-70A1-4D84-968E-62141D830EE3";"Bokförlaget BAS"
"05EF8B0A-B395-4D7D-972A-99CB7321FDD4";"Luleå tekniska universitet"
"05F6A6B8-F47E-4E98-AD3B-F972CEA884A0";"Edita Publishing Oy"
"05FB5355-5F99-4097-B7D2-AA787A591960";"Instituto Veracruzano de la Cultura. Collección Voladores"
"06176D15-22F6-40B5-85E8-E2109F410280";"Guggenheim Museum"
"061EE415-73FF-4A1B-A96D-E517FAA42A91";"Boréa Bokförlag"
"062D185F-DBB6-421B-B969-3647C1006083";"Mental Health, Law, and Policy Institute"
"062D4890-7A4F-4AF5-AEF7-3CE00830ADF1";"COMADEM International"
"063588F8-DF5C-4872-915F-D6CDF7050FA4";"EyeCorner Press"
"0654AC12-3862-4172-BE54-7164B0309D6D";"Naukowo-Wydawniczy Instytut Badań Bezpieczeństwa i Obronności Wyższej Szkoły Bezpieczeństwa Publicznego i Indywidualnego „Apeiron” w Krakowie"
"0658FE74-8E8F-4126-8726-3D3C346009FE";"National Council of Teachers of Mathematics"
"0681A1E4-41A4-4A54-8E0D-226482690DFD";"Dharma Drum Publishing Corp."
"068F28F7-D6FB-483A-9C73-EA091C42BB95";"Pali Text Society"
"06A19C54-F15A-4D3E-BE4B-87DFC7C6BE13";"Palgrave Macmillan"
"06A7B14F-8F31-4569-8277-DE1407849938";"Edizioni Tecnograf"
"06C16815-D5EB-4638-BCC1-CA7FE3BF90F0";"Strait Crossings"
"06C72430-2900-400A-99FB-3EFB7E7D5C31";"State University of New York at Binghamton"
"06CA3C6B-D0E5-459D-B8CC-7CBDFA9EC36F";"Institution of Occupational Safety and Health"
"06CAC10A-F800-4E7A-A91D-5E3701E0F0B4";"Consejo Superior de Investigaciones Científicas (CSIC)"
"06DD3BCF-36DF-4AE9-9339-2D24C2CE078F";"The International Council on Systems Engineering (INCOSE)"
"06ED13BC-D6A1-410E-985E-04C304F689F5";"Saarbrücker Schriften zu Linguistik und Fremdsprachendidaktik"
"06F2DBB0-4D94-4781-9F41-9AA30E7E8084";"Herzog August Bibliothek"
"06F9010F-9944-46E6-B709-2C3B831BBCCA";"AFRHC - Association française de recherche sur l'histoire du cinéma"
"071633CF-6742-46F9-BD66-7B0A4F6520F1";"European Society for Research in Mathematics Education"
"071B76CA-B6C4-4410-BA3A-34B32F2E3D94";"Belknap Press of Harvard University Press"
"0731ED1F-4936-4168-8DCE-6EBC6E06D92E";"Dunedin Academic Press"
"07342443-E975-4ACB-9595-A65DD95D5CBE";"Goodfellow Publishers"
"0738028A-E17D-426F-B0FD-D273644BA9B0";"United Nations Institute for Disarmament Research"
"074A534C-9368-4FA4-B170-1389EF59DA8D";"Centro de História da Sociedade e da Cultura"
"074B0540-E3D0-4711-B561-62B9EE1FB4F9";"Newfoundland Studies"
"07823789-57DE-4C6D-8C6C-328390F3615A";"Il Mulino"
"07FE8E33-B96C-4F94-A811-F0F70E109B0F";"Srednja Europa"
"080DFB0A-05B3-441D-B8C6-F4E8EA28FE96";"Electrochemical Society"
"08132029-CD1B-4F59-9B89-1E8E0A0A3DBE";"The Yorkshire Dialect Society"
"0834D2FB-62D8-45B6-AE1E-F632CA55FB8E";"Virtus InterPress"
"084623A2-AF7D-490C-851E-14BC67C6BB31";"Edition Sigma"
"08474A95-C38A-4761-8016-DBED8EBB84C3";"California Classical Studies"
"085A488D-15FF-4567-BE7A-8747FFBC2B00";"University of Florida"
"0883E4EE-C4B2-4F4C-B4AD-EFEFE164CB23";"IT-Universitetet i København"
"08F9CC08-3C4D-4D7C-90C0-5BD5F8258D99";"Academic Studies Press"
"091BA225-3D03-4BB3-B69C-8C7003653D3B";"Wydawnictwo Naukowe Uniwersytetu Mikolaja Kopernika"
"091CB9C5-5659-4571-8D11-FD0E08B649F0";"IRED"
"09306494-D939-4203-BB16-49494EE7AE92";"Universitetssenteret på Svalbard"
"09368527-529F-491D-AF25-8B0A7A0A0653";"Aufbau-Verlag"
"095E17A2-E717-4BBA-BFBC-368EC78B599D";"Présence Africaine"
"0985DF2B-3EF8-400A-8BC1-B26EB6519131";"Otava Publishing Company Ltd."
"0986CE07-0A41-41AF-A5EE-AC9FCD6468E0";"CMYK Studio Poligrafii i Reklamy"
